# Error in mu 0.20
# z   mu
0.017 34.357
0.019 34.795
0.020 34.562
0.020 34.792
0.021 34.384
0.021 34.751
0.022 35.274
0.023 35.210
0.028 35.281
0.028 35.327
0.031 35.625
0.031 35.849
0.031 35.791
0.031 35.953
0.033 35.931
0.034 35.909
0.034 35.957
0.040 36.415
0.040 36.251
0.041 36.336
0.041 36.969
0.041 36.273
0.044 36.238
0.044 36.919
0.045 36.759
0.046 36.803
0.047 36.630
0.047 36.748
0.047 36.876
0.049 36.714
0.049 36.934
0.050 36.871
0.054 36.987
0.056 36.998
0.057 36.847
0.058 37.138
0.060 37.493
0.062 37.315
0.062 37.109
0.063 37.107
0.063 37.281
0.065 37.625
0.066 37.225
0.068 37.449
0.069 37.753
0.072 37.630
0.072 37.371
0.072 37.779
0.074 37.783
0.075 37.511
0.076 37.874
0.077 38.241
0.078 37.998
0.078 37.835
0.080 37.800
0.084 37.969
0.085 37.982
0.086 37.660
0.087 38.478
0.089 38.310
0.090 38.110
0.090 37.901
0.090 38.403
0.090 38.257
0.091 38.542
0.092 38.328
0.092 38.216
0.092 37.973
0.095 38.326
0.096 38.531
0.097 38.338
0.098 37.788
0.100 38.563
0.100 37.879
0.100 38.108
0.101 38.492
0.102 38.023
0.102 38.101
0.105 38.730
0.107 38.680
0.109 38.700
0.110 38.445
0.112 38.591
0.114 38.889
0.115 38.862
0.115 38.571
0.117 38.685
0.119 38.906
0.119 38.395
0.121 38.737
0.121 38.742
0.121 38.924
0.122 39.197
0.123 38.972
0.125 39.118
0.125 38.760
0.125 39.016
0.128 38.456
0.128 38.710
0.129 38.953
0.129 38.976
0.130 38.870
0.130 38.858
0.133 39.014
0.135 39.229
0.136 38.753
0.137 38.990
0.137 39.433
0.137 38.729
0.137 39.160
0.137 39.334
0.138 38.948
0.139 39.274
0.140 39.491
0.141 39.281
0.146 39.224
0.147 39.313
0.148 39.324
0.149 39.412
0.150 39.311
0.150 39.324
0.151 39.570
0.152 38.972
0.152 39.192
0.152 39.362
0.152 39.472
0.153 39.613
0.154 39.668
0.156 39.697
0.156 39.717
0.157 39.535
0.158 39.099
0.159 39.469
0.160 39.259
0.162 39.436
0.162 39.377
0.163 39.387
0.165 39.966
0.166 39.558
0.167 39.790
0.167 39.590
0.167 39.850
0.168 39.409
0.169 39.740
0.172 39.765
0.172 39.530
0.172 39.506
0.172 39.769
0.173 39.382
0.175 39.917
0.175 39.624
0.175 39.999
0.175 39.971
0.177 39.848
0.179 39.732
0.180 39.754
0.183 39.621
0.183 39.970
0.184 39.948
0.187 39.524
0.188 39.670
0.188 39.759
0.189 40.325
0.190 39.834
0.191 40.095
0.191 39.725
0.193 39.909
0.197 40.024
0.198 39.718
0.198 40.020
0.199 40.183
0.200 39.830
0.200 40.035
0.202 39.858
0.203 39.947
0.204 39.991
0.208 40.003
0.211 40.138
0.211 40.041
0.212 40.136
0.213 39.947
0.213 39.841
0.213 40.063
0.215 39.943
0.215 40.098
0.216 40.224
0.216 39.777
0.216 40.257
0.216 40.164
0.217 40.103
0.218 40.217
0.218 40.108
0.220 40.251
0.220 40.339
0.221 39.903
0.221 40.331
0.221 40.355
0.223 40.267
0.224 40.631
0.224 40.249
0.226 40.264
0.228 40.364
0.229 40.254
0.230 40.457
0.231 40.282
0.233 40.060
0.236 40.410
0.236 40.717
0.237 40.412
0.239 40.349
0.239 40.334
0.239 40.305
0.239 40.577
0.240 40.575
0.240 40.386
0.241 40.624
0.243 40.615
0.244 40.614
0.244 40.535
0.244 40.640
0.245 40.747
0.245 40.310
0.246 40.722
0.247 40.519
0.248 40.166
0.251 40.692
0.251 40.880
0.252 40.300
0.253 40.965
0.257 40.802
0.259 40.430
0.261 40.352
0.261 40.870
0.262 40.631
0.263 40.925
0.266 40.855
0.267 40.812
0.268 40.297
0.268 40.965
0.268 40.944
0.269 40.574
0.269 40.771
0.269 41.097
0.269 40.839
0.270 40.699
0.270 40.824
0.270 40.171
0.273 40.816
0.273 40.734
0.275 40.645
0.275 41.126
0.275 40.766
0.275 40.667
0.277 40.678
0.279 40.932
0.279 41.247
0.285 41.105
0.286 40.799
0.286 41.133
0.287 40.574
0.287 41.127
0.290 40.763
0.291 41.016
0.292 40.841
0.292 40.823
0.293 40.683
0.294 41.157
0.295 40.974
0.295 40.908
0.297 41.166
0.297 40.766
0.298 41.132
0.299 41.057
0.300 41.070
0.301 40.872
0.301 41.029
0.302 41.093
0.304 40.859
0.305 40.897
0.306 41.331
0.307 40.997
0.308 40.827
0.310 40.773
0.310 41.306
0.312 41.132
0.312 41.339
0.313 40.997
0.314 41.070
0.315 40.940
0.318 41.018
0.320 41.244
0.322 41.276
0.324 41.144
0.326 41.118
0.326 41.231
0.326 41.294
0.327 41.164
0.332 41.436
0.333 41.164
0.335 41.259
0.337 41.283
0.340 41.557
0.348 41.449
0.349 41.138
0.351 41.093
0.351 41.750
0.352 41.528
0.353 41.377
0.355 41.474
0.356 42.039
0.356 41.400
0.357 41.696
0.358 41.216
0.358 41.165
0.361 41.746
0.361 41.234
0.363 41.116
0.364 41.354
0.365 41.618
0.365 41.505
0.365 41.786
0.365 41.289
0.366 41.413
0.366 41.320
0.367 41.661
0.367 41.440
0.369 41.375
0.369 41.409
0.372 41.039
0.373 41.498
0.377 41.275
0.378 41.740
0.378 41.751
0.379 41.346
0.379 41.409
0.380 41.518
0.381 41.755
0.381 41.554
0.381 41.708
0.382 41.717
0.383 41.764
0.383 41.247
0.384 41.546
