# Error in mu 0.20
# Average sig_z 0.10
# z   z2   mu
0.015 0.015 34.362
0.017 0.017 34.549
0.018 0.018 34.417
0.019 0.019 34.579
0.019 0.019 34.509
0.019 0.019 34.669
0.020 0.020 34.682
0.022 0.022 34.640
0.023 0.023 35.385
0.023 0.023 35.351
0.024 0.024 35.259
0.025 0.025 35.370
0.026 0.026 35.406
0.028 0.028 35.202
0.029 0.029 35.691
0.031 0.031 35.578
0.033 0.033 35.692
0.035 0.035 35.932
0.037 0.037 36.052
0.037 0.037 35.904
0.038 0.038 36.239
0.038 0.038 36.385
0.042 0.042 36.489
0.042 0.042 36.280
0.043 0.043 36.771
0.043 0.043 36.706
0.043 0.043 36.213
0.043 0.043 36.248
0.043 0.043 36.634
0.046 0.046 37.040
0.047 0.047 36.816
0.047 0.047 36.466
0.047 0.047 36.732
0.048 0.048 36.758
0.049 0.049 36.323
0.050 0.050 37.130
0.050 0.050 36.904
0.050 0.050 36.905
0.052 0.052 36.621
0.052 0.052 36.672
0.053 0.053 36.682
0.054 0.054 37.210
0.054 0.054 36.909
0.054 0.054 37.059
0.055 0.055 37.169
0.056 0.056 36.918
0.058 0.058 37.573
0.058 0.058 36.824
0.059 0.059 37.221
0.061 0.061 37.212
0.062 0.062 37.404
0.062 0.062 37.337
0.063 0.063 37.390
0.064 0.064 37.247
0.064 0.064 37.580
0.064 0.064 37.209
0.064 0.064 37.085
0.066 0.066 37.099
0.067 0.067 37.602
0.068 0.068 37.680
0.069 0.069 37.522
0.072 0.072 37.774
0.072 0.072 37.167
0.073 0.073 37.925
0.074 0.074 37.690
0.074 0.074 37.593
0.074 0.074 37.477
0.074 0.074 36.944
0.074 0.074 38.007
0.075 0.075 37.905
0.076 0.076 37.725
0.077 0.077 37.985
0.078 0.078 37.896
0.078 0.078 37.849
0.080 0.080 37.921
0.081 0.081 38.175
0.083 0.083 37.735
0.083 0.083 37.845
0.083 0.083 38.169
0.084 0.084 38.124
0.085 0.085 37.884
0.087 0.087 38.270
0.087 0.087 38.060
0.089 0.089 38.134
0.090 0.090 37.860
0.094 0.094 38.041
0.094 0.094 38.529
0.095 0.095 38.425
0.095 0.095 38.146
0.096 0.096 38.294
0.097 0.097 38.220
0.098 0.098 38.011
0.099 0.099 38.353
0.100 0.240 38.455
0.101 0.184 38.255
