# Error in mu 0.20
# Average sig_z 0.10
# z   z2   mu
0.017 0.017 34.367
0.017 0.017 34.365
0.017 0.017 34.445
0.019 0.019 34.778
0.023 0.023 35.002
0.023 0.023 35.089
0.024 0.024 35.183
0.025 0.025 35.522
0.026 0.026 35.344
0.027 0.027 35.436
0.031 0.031 35.512
0.032 0.032 35.701
0.034 0.034 35.923
0.035 0.035 35.861
0.036 0.036 36.223
0.036 0.036 35.929
0.036 0.036 35.892
0.037 0.037 36.248
0.037 0.037 36.155
0.037 0.037 36.114
0.041 0.041 36.492
0.042 0.042 36.647
0.043 0.043 36.501
0.043 0.043 36.438
0.044 0.044 36.439
0.045 0.045 36.631
0.045 0.045 36.798
0.046 0.046 36.679
0.046 0.046 36.824
0.046 0.046 36.502
0.047 0.047 36.931
0.047 0.047 36.819
0.049 0.049 36.545
0.050 0.050 36.786
0.050 0.050 36.950
0.054 0.054 37.139
0.054 0.054 36.990
0.056 0.056 36.822
0.057 0.057 36.795
0.057 0.057 37.170
0.057 0.057 37.075
0.059 0.059 37.226
0.061 0.061 37.274
0.062 0.062 37.120
0.062 0.062 37.376
0.063 0.063 37.204
0.064 0.064 37.289
0.064 0.064 37.287
0.065 0.065 37.434
0.065 0.065 37.525
0.065 0.065 37.198
0.067 0.067 37.884
0.067 0.067 37.295
0.068 0.068 37.577
0.069 0.069 37.430
0.069 0.069 37.559
0.071 0.071 37.526
0.074 0.074 37.789
0.075 0.075 37.794
0.076 0.076 37.730
0.077 0.077 37.836
0.079 0.079 37.645
0.080 0.080 37.763
0.080 0.080 37.791
0.081 0.081 38.112
0.083 0.083 37.903
0.084 0.084 37.816
0.085 0.085 37.904
0.086 0.086 38.331
0.087 0.087 38.014
0.088 0.088 38.228
0.089 0.089 37.906
0.091 0.091 37.977
0.094 0.094 38.264
0.094 0.094 38.435
0.099 0.099 38.451
0.099 0.099 38.327
0.099 0.099 38.473
0.150 0.101 38.127
0.062 0.101 38.114
0.101 0.136 38.428
0.020 0.101 38.589
0.102 0.136 38.970
0.102 0.104 38.082
0.103 0.216 38.558
0.103 0.093 38.442
0.103 0.197 38.644
0.104 0.276 38.156
0.105 0.003 38.971
0.106 0.012 38.517
0.107 0.190 38.369
0.112 0.187 38.360
0.114 0.289 38.461
0.115 0.115 38.478
0.116 0.126 38.682
0.116 0.137 38.722
0.116 0.114 38.706
0.116 0.287 38.726
0.117 0.009 38.535
0.166 0.118 38.705
0.118 0.012 38.798
0.118 0.123 38.538
0.118 0.194 38.806
0.119 0.128 38.664
0.120 0.262 38.651
0.121 0.259 38.783
0.121 0.277 39.002
0.122 0.184 38.962
0.123 0.179 38.744
0.124 0.131 39.280
0.125 0.123 38.659
0.125 0.139 39.117
0.125 0.164 39.017
0.125 0.080 38.945
0.126 0.162 39.066
0.126 0.101 38.920
0.127 0.206 38.450
0.127 0.213 38.928
0.128 0.103 38.996
0.128 0.065 38.950
0.128 0.147 39.297
0.252 0.130 39.331
0.130 0.256 38.761
0.115 0.130 38.790
0.126 0.131 38.929
0.132 0.125 39.430
0.132 0.057 38.944
0.133 0.163 38.980
0.133 0.128 39.307
0.136 0.226 39.127
0.138 0.288 39.509
0.139 0.080 39.070
0.141 0.232 38.935
0.268 0.144 39.347
0.144 0.290 39.200
0.145 0.019 39.377
0.146 0.136 39.206
0.148 0.091 39.443
0.215 0.148 39.532
0.149 0.134 39.573
0.150 0.089 39.396
0.150 0.122 39.425
0.150 0.245 39.520
0.150 0.037 39.436
0.152 0.148 39.426
0.152 0.008 39.179
0.153 0.156 39.489
0.154 0.053 39.381
0.154 0.038 39.694
0.363 0.154 39.103
0.154 0.242 39.486
0.159 0.092 39.347
0.159 0.041 39.377
0.161 0.254 39.382
0.161 0.149 39.396
0.161 0.161 39.940
0.099 0.162 39.567
0.163 0.140 39.480
0.163 0.044 39.595
0.164 0.080 39.439
0.167 0.313 39.875
0.169 0.147 39.762
0.169 0.096 39.635
0.170 0.228 39.642
0.171 0.108 39.767
0.171 0.086 39.659
0.172 0.198 39.873
0.172 0.289 39.564
0.172 0.373 39.871
0.173 0.133 39.584
0.177 0.126 39.922
0.178 0.066 39.957
0.161 0.179 39.552
0.181 0.284 39.880
0.181 0.080 39.671
0.184 0.205 39.879
0.185 0.191 39.902
0.186 0.106 39.562
0.186 0.229 39.810
0.187 0.121 39.955
0.187 0.188 39.834
0.187 0.068 39.477
0.188 0.259 40.143
0.188 0.189 39.847
0.188 0.142 39.703
0.189 0.097 39.829
0.189 0.177 39.789
0.191 0.206 39.953
0.192 0.057 40.052
0.194 0.201 39.882
0.195 0.214 39.989
0.195 0.240 39.900
0.196 0.207 39.870
0.196 0.335 40.172
0.177 0.196 39.986
0.197 0.229 39.960
0.197 0.198 39.703
0.200 0.072 40.071
0.202 0.101 40.189
0.203 0.136 40.053
0.203 0.195 39.770
0.205 0.360 39.891
0.206 0.213 40.305
0.207 0.287 39.819
0.207 0.140 39.999
0.263 0.207 40.074
0.208 0.406 40.290
0.208 0.105 40.325
0.209 0.326 40.404
0.210 0.365 40.239
0.426 0.210 40.079
0.213 0.088 40.002
0.213 0.121 40.041
0.214 0.389 39.886
0.214 0.187 40.290
0.215 0.408 40.122
0.218 0.205 40.303
0.218 0.380 40.339
0.219 0.133 40.428
0.221 0.138 40.192
0.221 0.230 40.307
0.198 0.222 40.358
0.222 0.271 40.198
0.010 0.223 40.317
0.225 0.248 40.140
0.226 0.057 40.264
0.226 0.144 39.869
0.227 0.047 40.558
0.229 0.187 40.289
0.230 0.220 39.879
0.231 0.189 40.115
0.235 0.193 40.426
0.237 0.405 40.608
0.239 0.137 40.364
0.239 0.266 40.719
0.242 0.277 40.137
0.242 0.309 40.510
0.242 0.348 40.492
0.244 0.276 40.691
0.245 0.310 40.489
0.246 0.275 40.974
0.246 0.342 41.053
0.247 0.176 40.709
0.248 0.140 40.525
0.249 0.200 40.706
0.258 0.252 40.539
0.252 0.251 40.335
0.252 0.199 40.468
0.253 0.232 40.413
0.254 0.363 40.962
0.255 0.319 40.669
0.256 0.201 40.664
0.256 0.086 40.503
0.257 0.412 40.864
0.219 0.258 40.500
0.258 0.377 40.868
0.258 0.309 40.730
0.260 0.282 40.842
0.260 0.457 40.445
0.261 0.455 40.736
0.261 0.240 40.275
0.263 0.284 40.789
0.264 0.368 40.679
0.266 0.199 40.987
0.266 0.293 40.982
0.269 0.100 40.570
0.270 0.226 40.525
0.220 0.270 41.026
0.274 0.320 40.720
0.274 0.393 40.851
0.131 0.274 40.710
0.276 0.241 40.632
0.276 0.086 41.070
0.277 0.119 40.773
0.135 0.277 40.505
0.279 0.411 40.798
0.417 0.281 40.729
0.284 0.229 41.035
0.285 0.322 40.888
0.290 0.314 40.549
0.290 0.023 40.955
0.293 0.208 40.709
0.294 0.185 41.177
0.295 0.376 41.048
0.291 0.295 41.080
0.296 0.317 41.103
0.299 0.413 41.150
0.299 0.243 40.710
0.299 0.166 40.885
0.300 0.187 40.938
0.300 0.177 41.071
0.301 0.329 40.624
0.302 0.443 41.027
0.303 0.144 41.062
0.303 0.263 41.081
0.303 0.312 41.016
0.304 0.348 41.388
0.307 0.288 41.109
0.308 0.092 41.038
0.308 0.322 41.038
0.309 0.348 41.095
0.309 0.279 41.112
0.309 0.369 41.157
0.353 0.313 41.010
0.314 0.304 41.133
0.318 0.528 41.246
0.319 0.224 41.490
0.319 0.282 41.261
0.319 0.194 41.477
0.322 0.349 41.390
0.323 0.333 41.246
0.325 0.307 41.196
0.327 0.343 41.436
0.328 0.269 40.954
0.329 0.347 41.191
0.329 0.481 41.327
0.332 0.505 41.150
0.332 0.462 41.641
0.333 0.253 41.407
0.334 0.255 41.062
0.336 0.354 41.267
0.337 0.187 41.764
0.339 0.330 41.065
0.339 0.261 41.305
0.340 0.375 41.234
0.340 0.440 41.557
0.243 0.340 41.325
0.341 0.407 41.039
0.341 0.336 41.285
0.342 0.407 41.535
0.345 0.343 41.021
0.384 0.343 41.530
0.346 0.421 41.524
0.347 0.211 41.735
0.348 0.212 41.265
0.349 0.246 41.238
0.349 0.237 41.121
0.349 0.441 41.541
0.350 0.401 41.477
0.350 0.444 41.153
0.350 0.380 40.781
0.351 0.253 41.566
0.352 0.279 41.589
0.353 0.544 41.635
0.353 0.378 41.378
0.354 0.402 41.578
0.355 0.348 41.015
0.359 0.453 41.729
0.359 0.100 41.328
0.359 0.397 41.262
0.361 0.400 41.620
0.363 0.353 41.548
0.364 0.466 41.319
0.364 0.339 41.806
0.324 0.364 40.810
