# Error in mu 0.20
# z   z2   mu
0.016 0.016 34.276
0.016 0.016 34.345
0.017 0.017 34.547
0.019 0.019 34.717
0.022 0.022 35.288
0.023 0.023 34.882
0.023 0.023 35.074
0.024 0.024 35.680
0.025 0.025 35.259
0.026 0.026 35.270
0.027 0.027 35.284
0.028 0.028 35.624
0.029 0.029 35.534
0.031 0.031 35.526
0.032 0.032 35.845
0.032 0.032 36.056
0.032 0.032 35.961
0.034 0.034 35.635
0.037 0.037 36.232
0.038 0.038 36.167
0.039 0.039 35.877
0.042 0.042 36.118
0.046 0.046 36.822
0.046 0.046 36.505
0.046 0.046 36.494
0.047 0.047 36.612
0.047 0.047 36.545
0.049 0.049 36.623
0.050 0.050 36.971
0.051 0.051 36.932
0.054 0.054 37.127
0.055 0.055 37.247
0.055 0.055 36.943
0.056 0.056 36.861
0.056 0.056 36.853
0.058 0.058 37.177
0.058 0.058 36.942
0.058 0.058 37.037
0.059 0.059 37.092
0.059 0.059 37.311
0.059 0.059 37.122
0.060 0.060 36.853
0.060 0.060 37.270
0.061 0.061 37.865
0.061 0.061 37.169
0.061 0.061 37.119
0.061 0.061 37.009
0.064 0.064 37.271
0.064 0.064 37.342
0.064 0.064 37.246
0.065 0.065 36.949
0.066 0.066 37.301
0.066 0.066 37.825
0.068 0.068 37.367
0.069 0.069 37.521
0.071 0.071 38.100
0.072 0.072 37.290
0.072 0.072 37.322
0.074 0.074 37.700
0.075 0.075 37.789
0.076 0.076 37.515
0.077 0.077 38.001
0.078 0.078 37.787
0.081 0.081 37.967
0.082 0.082 37.712
0.084 0.084 37.757
0.086 0.086 37.876
0.087 0.087 37.678
0.087 0.087 38.307
0.087 0.087 38.311
0.088 0.088 38.183
0.088 0.088 37.930
0.089 0.089 38.094
0.091 0.091 37.998
0.091 0.091 37.865
0.093 0.093 38.152
0.094 0.094 38.109
0.095 0.095 37.893
0.096 0.096 38.490
0.097 0.097 38.102
0.100 0.100 38.370
0.100 0.100 38.733
0.100 0.240 38.672
0.104 0.198 38.507
0.105 0.251 38.318
0.107 0.037 38.047
0.108 0.250 38.602
0.109 0.013 38.448
0.109 0.054 38.446
0.111 0.147 38.908
0.115 0.221 38.746
0.115 0.083 39.011
0.116 0.101 38.749
0.116 0.109 39.071
0.118 0.098 38.746
0.118 0.062 38.960
0.120 0.134 39.182
0.120 0.259 38.834
0.122 0.025 38.718
0.123 0.190 39.188
0.124 0.171 39.140
0.128 0.023 38.930
0.129 0.180 39.046
0.129 0.130 39.191
0.131 0.117 38.735
0.131 0.186 39.676
0.131 0.169 39.088
0.133 0.180 39.150
