# Error in mu 0.20
# Photo-z Error 0.040
# z   mu
0.120 34.367
0.057 34.365
0.038 34.445
0.001 34.778
0.014 35.002
0.056 35.089
0.007 35.183
0.048 35.522
0.024 35.344
0.074 35.436
0.034 35.512
0.063 35.701
0.032 35.923
0.022 35.861
0.049 36.223
0.001 35.929
0.052 35.892
0.071 36.248
0.022 36.155
0.052 36.114
0.061 36.492
0.018 36.647
0.058 36.501
0.108 36.438
0.079 36.439
0.075 36.631
0.001 36.798
0.082 36.679
0.091 36.824
0.100 36.502
0.009 36.931
0.039 36.819
0.050 36.545
0.112 36.786
0.087 36.950
0.053 37.139
0.040 36.990
0.045 36.822
0.062 36.795
0.074 37.170
0.038 37.075
0.031 37.226
0.056 37.274
0.026 37.120
0.009 37.376
0.072 37.204
0.143 37.289
0.143 37.287
0.054 37.434
0.071 37.525
0.094 37.198
0.128 37.884
0.025 37.295
0.020 37.577
0.068 37.430
0.087 37.559
0.033 37.526
0.082 37.789
0.108 37.794
0.062 37.730
0.138 37.836
0.096 37.645
0.101 37.763
0.091 37.791
0.080 38.112
0.109 37.903
0.091 37.816
0.057 37.904
0.065 38.331
0.080 38.014
0.049 38.228
0.024 37.906
0.025 37.977
0.084 38.264
0.127 38.435
0.036 38.451
0.054 38.327
0.157 38.473
0.087 38.127
0.163 38.114
0.080 38.428
0.139 38.589
0.105 38.970
0.075 38.082
0.076 38.558
0.088 38.442
0.099 38.644
0.169 38.156
0.163 38.971
0.062 38.517
0.098 38.369
0.095 38.360
0.053 38.461
0.109 38.478
0.080 38.682
0.142 38.722
0.168 38.706
0.118 38.726
0.157 38.535
0.169 38.705
0.061 38.798
0.135 38.538
0.128 38.806
0.171 38.664
0.087 38.651
0.219 38.783
0.118 39.002
0.106 38.962
0.090 38.744
0.207 39.280
0.125 38.659
0.130 39.117
0.178 39.017
0.135 38.945
0.195 39.066
0.056 38.920
0.188 38.450
0.097 38.928
0.092 38.996
0.170 38.950
0.182 39.297
0.082 39.331
0.107 38.761
0.168 38.790
0.152 38.929
0.076 39.430
0.137 38.944
0.151 38.980
0.160 39.307
0.191 39.127
0.090 39.509
0.142 39.070
0.147 38.935
0.169 39.347
0.116 39.200
0.080 39.377
0.053 39.206
0.189 39.443
0.187 39.532
0.153 39.573
0.141 39.396
0.164 39.425
0.122 39.520
0.180 39.436
0.188 39.426
0.155 39.179
0.143 39.489
0.169 39.381
0.114 39.694
0.140 39.103
0.140 39.486
0.113 39.347
0.179 39.377
0.197 39.382
0.158 39.396
0.184 39.940
0.150 39.567
0.151 39.480
0.145 39.595
0.187 39.439
0.124 39.875
0.153 39.762
0.183 39.635
0.174 39.642
0.173 39.767
0.054 39.659
0.207 39.873
0.166 39.564
0.160 39.871
0.167 39.584
0.146 39.922
0.069 39.957
0.223 39.552
0.182 39.880
0.206 39.671
0.140 39.879
0.114 39.902
0.120 39.562
0.229 39.810
0.115 39.955
0.249 39.834
0.305 39.477
0.220 40.143
0.174 39.847
0.260 39.703
0.253 39.829
0.131 39.789
0.228 39.953
0.150 40.052
0.207 39.882
0.181 39.989
0.233 39.900
0.177 39.870
0.080 40.172
0.166 39.986
0.166 39.960
0.211 39.703
0.148 40.071
0.218 40.189
0.153 40.053
0.199 39.770
0.155 39.891
0.170 40.305
0.191 39.819
0.211 39.999
0.193 40.074
0.179 40.290
0.180 40.325
0.210 40.404
0.153 40.239
0.169 40.079
0.240 40.002
0.186 40.041
0.213 39.886
0.218 40.290
0.322 40.122
0.195 40.303
0.124 40.339
0.163 40.428
0.310 40.192
0.240 40.307
0.232 40.358
0.197 40.198
0.194 40.317
0.305 40.140
0.199 40.264
0.356 39.869
0.283 40.558
0.284 40.289
0.203 39.879
0.212 40.115
0.246 40.426
0.239 40.608
0.222 40.364
0.281 40.719
0.203 40.137
0.203 40.510
0.123 40.492
0.228 40.691
0.219 40.489
0.172 40.974
0.242 41.053
0.147 40.709
0.203 40.525
0.208 40.706
0.268 40.539
0.187 40.335
0.303 40.468
0.192 40.413
0.255 40.962
0.249 40.669
0.241 40.664
0.232 40.503
0.179 40.864
0.264 40.500
0.271 40.868
0.322 40.730
0.297 40.842
0.276 40.445
0.210 40.736
0.191 40.275
0.214 40.789
0.196 40.679
0.337 40.987
0.347 40.982
0.262 40.570
0.308 40.525
0.233 41.026
0.278 40.720
0.274 40.851
0.279 40.710
0.284 40.632
0.271 41.070
0.230 40.773
0.289 40.505
0.360 40.798
0.259 40.729
0.247 41.035
0.225 40.888
0.246 40.549
0.365 40.955
0.259 40.709
0.249 41.177
0.271 41.048
0.308 41.080
0.451 41.103
0.247 41.150
0.330 40.710
0.254 40.885
0.303 40.938
0.163 41.071
0.285 40.624
0.313 41.027
0.335 41.062
0.294 41.081
0.299 41.016
0.315 41.388
0.402 41.109
0.283 41.038
0.239 41.038
0.404 41.095
0.313 41.112
0.302 41.157
0.343 41.010
0.391 41.133
0.344 41.246
0.352 41.490
0.305 41.261
0.277 41.477
0.304 41.390
0.382 41.246
0.316 41.196
0.373 41.436
0.226 40.954
0.367 41.191
0.362 41.327
0.359 41.150
0.323 41.641
0.379 41.407
0.422 41.062
0.333 41.267
0.302 41.764
0.363 41.065
0.422 41.305
0.355 41.234
0.347 41.557
0.241 41.325
0.349 41.039
0.394 41.285
0.380 41.535
0.310 41.021
0.240 41.530
0.319 41.524
0.413 41.735
0.378 41.265
0.376 41.238
0.286 41.121
0.391 41.541
0.365 41.477
0.324 41.153
0.320 40.781
0.378 41.566
0.290 41.589
0.348 41.635
0.301 41.378
0.359 41.578
0.322 41.015
0.363 41.729
0.439 41.328
0.421 41.262
0.367 41.620
0.297 41.548
0.244 41.319
0.433 41.806
0.299 40.810
0.270 41.203
0.425 41.571
0.350 41.416
0.412 41.522
0.424 41.547
0.368 41.806
0.363 41.117
0.346 41.404
0.380 41.469
0.446 41.771
0.375 41.827
0.258 41.533
0.296 41.638
0.389 41.515
0.406 41.478
0.314 41.066
0.350 41.988
0.317 41.600
0.355 41.480
0.276 41.263
0.357 41.504
0.337 41.500
0.473 42.016
0.349 41.703
0.442 41.602
0.423 41.911
0.421 41.566
0.336 41.622
0.425 41.814
0.475 41.325
0.416 41.807
0.412 41.310
0.355 41.692
0.405 41.398
0.369 41.782
0.415 41.858
0.379 41.765
0.371 41.604
0.429 41.780
0.472 41.802
0.424 41.562
0.351 41.356
0.394 41.649
0.380 42.166
0.389 41.926
0.392 41.432
0.319 41.866
0.445 41.898
0.408 41.909
0.465 41.461
0.465 41.750
0.486 41.837
0.470 42.008
0.473 41.802
0.427 41.796
0.498 41.614
0.483 41.862
0.529 42.172
0.426 42.024
0.433 42.225
0.555 42.421
0.462 41.814
0.383 41.862
0.475 41.731
0.285 41.784
0.426 41.874
0.370 42.031
0.451 41.592
0.447 42.219
0.321 41.756
0.391 42.157
0.464 41.893
0.423 42.337
0.389 41.505
0.418 41.971
0.400 41.998
0.438 41.939
0.403 41.958
0.508 41.972
0.404 41.948
0.430 41.995
0.523 41.938
0.392 41.925
0.434 41.805
0.502 42.152
0.474 42.125
0.497 41.758
0.486 42.329
0.473 42.096
0.455 41.908
0.507 42.291
0.393 42.142
0.435 42.001
0.421 41.854
0.453 41.943
0.469 42.110
0.440 42.191
0.474 41.890
0.565 42.148
0.456 42.396
0.447 42.074
0.405 42.044
0.401 42.323
0.480 42.321
0.465 41.842
0.577 42.457
0.424 42.393
0.426 42.160
0.370 42.148
0.529 42.715
0.491 42.449
0.628 42.491
0.352 42.618
0.457 42.088
0.448 42.527
0.452 42.200
0.500 42.205
0.586 42.315
0.511 42.065
0.481 42.258
0.473 42.362
0.391 42.301
0.566 42.366
0.508 42.201
0.566 42.251
0.481 42.234
0.473 42.209
0.453 42.393
0.464 42.480
0.604 42.007
0.631 42.235
0.461 42.355
0.559 42.260
0.531 42.653
0.609 42.214
0.449 42.294
0.479 42.272
0.399 42.406
0.546 42.269
0.574 42.565
0.356 42.524
0.499 42.162
0.598 42.659
0.656 42.838
0.530 42.206
0.493 42.649
0.434 42.503
0.526 42.717
0.462 42.139
0.513 42.469
0.543 42.646
0.588 42.299
0.482 42.649
0.490 42.176
0.518 42.401
0.454 42.660
0.577 42.566
0.517 42.564
0.553 42.676
0.542 42.555
0.525 42.578
0.506 42.258
0.456 42.468
0.481 42.440
0.568 42.455
0.633 42.883
0.603 42.127
0.538 42.717
0.591 42.510
0.617 42.693
0.557 42.600
0.549 42.539
0.536 42.814
0.575 42.506
0.529 42.566
0.608 42.547
0.514 42.572
0.552 42.674
0.651 42.365
0.564 42.235
0.411 42.595
0.519 42.630
0.622 42.675
0.530 42.552
0.540 42.205
0.607 42.898
0.543 42.340
0.603 42.696
0.607 42.737
0.571 42.880
0.587 42.775
0.447 42.746
0.548 42.745
0.599 42.744
0.518 42.337
0.536 42.466
0.610 42.431
0.574 42.521
0.564 42.660
0.521 42.558
0.516 43.013
0.601 42.920
0.452 42.585
0.622 42.703
0.520 43.085
0.682 42.578
0.744 42.417
0.598 42.425
0.605 42.546
0.627 42.630
0.617 43.142
0.658 42.973
0.666 42.376
0.636 42.597
0.694 42.826
0.572 42.757
0.558 42.876
0.551 42.748
0.564 42.828
0.697 42.823
0.639 42.783
0.619 42.831
0.607 42.961
0.649 42.709
0.580 42.941
0.622 42.763
0.625 43.016
0.627 42.837
0.660 42.983
0.591 42.612
0.533 42.876
0.587 42.984
0.648 42.659
0.416 43.080
0.697 42.283
0.571 42.750
0.768 42.697
0.565 43.435
0.537 42.770
0.515 42.605
0.648 43.347
0.583 43.068
0.700 42.938
0.629 42.808
0.633 42.852
0.590 43.180
0.620 42.578
0.738 42.918
0.643 42.707
0.621 43.038
0.551 43.051
0.573 42.878
0.553 43.377
0.591 43.142
0.610 43.003
0.594 42.887
0.659 43.193
0.661 42.494
0.665 43.128
0.689 42.738
0.643 43.452
0.599 42.741
0.611 42.914
0.724 43.122
0.820 42.700
0.654 43.262
0.717 43.283
0.606 43.024
0.621 42.554
0.634 42.841
0.693 43.423
0.740 42.581
0.678 43.004
0.609 43.155
0.630 43.067
0.780 43.084
0.700 42.879
0.619 42.869
0.613 43.080
0.740 43.325
0.623 43.153
0.744 42.853
0.588 42.974
0.638 43.296
0.770 43.002
0.608 43.235
0.716 43.254
0.779 43.175
0.712 42.809
0.572 43.245
0.562 42.997
