# Error in mu 0.20
# z   mu
0.015 34.137
0.016 34.541
0.018 34.448
0.018 35.353
0.020 34.653
0.020 35.076
0.021 34.780
0.023 35.304
0.023 35.138
0.023 35.063
0.023 35.232
0.024 35.186
0.025 35.119
0.026 35.254
0.026 35.171
0.026 35.208
0.026 35.239
0.028 35.429
0.029 35.710
0.029 35.642
0.030 35.541
0.031 35.696
0.032 35.879
0.032 35.693
0.034 35.561
0.034 35.772
0.034 35.760
0.034 35.797
0.035 36.230
0.035 35.614
0.036 36.149
0.036 35.969
0.041 36.520
0.041 36.259
0.042 36.327
0.043 36.649
0.043 36.141
0.043 36.186
0.044 36.404
0.046 36.416
0.047 36.743
0.047 36.692
0.048 36.179
0.049 36.862
0.049 36.544
0.051 36.895
0.052 36.903
0.052 36.746
0.052 36.871
0.053 37.005
0.056 36.748
0.056 37.154
0.057 37.119
0.063 37.273
0.063 37.060
0.063 37.734
0.066 37.579
0.067 37.468
0.068 37.265
0.070 37.604
0.070 37.655
0.072 37.806
0.073 37.868
0.073 37.687
0.074 37.654
0.074 37.960
0.077 37.716
0.079 37.678
0.080 38.031
0.080 37.948
0.081 38.013
0.082 37.859
0.083 38.181
0.083 38.258
0.084 38.359
0.084 38.085
0.086 37.889
0.086 37.858
0.087 37.825
0.088 38.175
0.090 37.722
0.091 38.407
0.091 38.390
0.092 37.928
0.093 38.314
0.093 38.348
0.094 38.204
0.094 38.300
0.095 38.204
0.095 38.241
0.098 38.215
0.099 38.277
0.099 38.263
0.100 37.939
0.040 38.498
0.108 38.699
0.118 38.529
0.051 38.199
0.064 38.340
0.115 38.293
0.069 38.831
0.027 38.157
0.111 38.260
0.078 38.629
0.102 38.787
0.188 38.956
0.116 38.618
0.067 38.640
0.092 38.456
0.130 38.753
0.135 38.712
0.051 38.334
0.111 38.349
0.021 39.071
0.069 38.930
0.039 38.868
0.169 38.640
0.099 38.929
0.121 38.967
0.114 38.673
0.102 38.904
0.043 38.824
0.135 38.783
0.127 38.819
0.124 38.827
0.100 39.140
0.104 38.855
0.174 39.430
0.194 38.956
0.127 38.756
0.180 38.784
