# Error in mu 0.20
# z   mu
0.007 34.137
0.062 34.541
0.016 34.448
0.046 35.353
0.025 34.653
0.034 35.076
0.006 34.780
0.056 35.304
0.034 35.138
0.033 35.063
0.005 35.232
0.069 35.186
0.035 35.119
0.031 35.254
0.006 35.171
0.015 35.208
0.003 35.239
0.072 35.429
0.054 35.710
0.110 35.642
0.088 35.541
0.006 35.696
0.031 35.879
0.044 35.693
0.058 35.561
0.016 35.772
0.071 35.760
0.059 35.797
0.015 36.230
0.003 35.614
0.080 36.149
0.020 35.969
0.083 36.520
0.034 36.259
0.050 36.327
0.008 36.649
0.055 36.141
0.100 36.186
0.020 36.404
0.064 36.416
0.104 36.743
0.027 36.692
0.042 36.179
0.132 36.862
0.001 36.544
0.082 36.895
0.064 36.903
0.083 36.746
0.078 36.871
0.038 37.005
0.004 36.748
0.089 37.154
0.045 37.119
0.005 37.273
0.130 37.060
0.107 37.734
0.034 37.579
0.006 37.468
0.087 37.265
0.079 37.604
0.021 37.655
0.037 37.806
0.074 37.868
0.053 37.687
0.072 37.654
0.068 37.960
0.034 37.716
0.049 37.678
0.032 38.031
0.064 37.948
0.083 38.013
0.070 37.859
0.096 38.181
0.136 38.258
0.150 38.359
0.071 38.085
0.106 37.889
0.128 37.858
0.062 37.825
0.119 38.175
0.037 37.722
0.101 38.407
0.145 38.390
0.018 37.928
0.134 38.314
0.081 38.348
0.124 38.204
0.072 38.300
0.118 38.204
0.035 38.241
0.103 38.215
0.097 38.277
0.065 38.263
0.192 37.939
0.213 38.498
0.091 38.699
0.037 38.529
0.038 38.199
0.133 38.340
0.212 38.293
0.102 38.831
0.119 38.157
0.070 38.260
0.199 38.629
0.127 38.787
0.159 38.956
0.098 38.618
0.134 38.640
0.022 38.456
0.114 38.753
0.125 38.712
0.122 38.334
0.157 38.349
0.163 39.071
0.123 38.930
0.097 38.868
0.208 38.640
0.169 38.929
0.146 38.967
0.176 38.673
0.249 38.904
0.089 38.824
0.102 38.783
0.162 38.819
0.075 38.827
0.098 39.140
0.154 38.855
0.157 39.430
0.137 38.956
0.171 38.756
0.158 38.784
0.138 38.822
0.127 38.978
0.112 39.200
0.233 39.174
0.237 38.938
0.144 39.117
0.113 38.796
0.100 39.346
0.190 38.923
0.121 38.947
0.161 39.406
0.209 38.908
0.111 39.496
0.113 39.438
0.145 38.967
0.189 39.311
0.152 39.350
0.094 39.524
0.169 39.253
0.140 39.398
0.168 39.181
0.227 39.126
0.246 39.452
0.213 39.266
0.104 39.846
0.211 39.686
0.125 39.332
0.220 39.617
0.151 39.582
0.221 39.625
0.290 39.698
0.195 39.594
0.167 39.557
0.209 39.573
0.185 39.857
0.153 39.870
0.141 39.179
0.170 39.715
0.199 39.210
0.168 39.593
0.168 39.691
0.187 39.326
0.175 39.635
0.159 39.559
0.164 39.595
0.204 39.957
0.183 39.949
0.081 40.055
0.234 39.852
0.162 40.137
0.163 39.784
0.130 39.740
0.216 39.949
0.116 39.743
0.191 40.113
0.179 40.251
0.146 39.789
0.173 39.891
0.292 40.130
0.227 40.029
0.162 39.872
0.212 39.845
0.099 40.075
0.233 39.997
0.192 40.101
0.170 40.185
0.197 40.237
0.173 40.007
0.172 40.360
0.143 40.161
0.241 40.093
0.216 40.234
0.267 40.412
0.151 40.084
0.153 40.081
0.206 39.968
0.132 40.108
0.222 40.265
0.103 40.150
0.217 40.269
0.262 40.015
0.191 40.011
0.200 39.959
0.212 40.507
0.284 40.760
0.232 40.342
0.247 40.532
0.212 40.144
0.261 40.193
0.241 40.302
0.220 40.508
0.168 40.357
0.250 40.354
0.204 40.554
0.225 40.399
0.279 40.621
0.258 40.326
0.191 40.336
0.221 40.442
0.294 40.322
0.158 40.690
0.136 39.983
0.299 40.549
0.284 40.139
0.194 40.081
0.237 40.536
0.265 40.731
