# Error in mu 0.20
# z   mu
0.017 34.367
0.017 34.365
0.017 34.445
0.019 34.778
0.023 35.002
0.023 35.089
0.024 35.183
0.025 35.522
0.026 35.344
0.027 35.436
0.031 35.512
0.032 35.701
0.034 35.923
0.035 35.861
0.036 36.223
0.036 35.929
0.036 35.892
0.037 36.248
0.037 36.155
0.037 36.114
0.041 36.492
0.042 36.647
0.043 36.501
0.043 36.438
0.044 36.439
0.045 36.631
0.045 36.798
0.046 36.679
0.046 36.824
0.046 36.502
0.047 36.931
0.047 36.819
0.049 36.545
0.050 36.786
0.050 36.950
0.054 37.139
0.054 36.990
0.056 36.822
0.057 36.795
0.057 37.170
0.057 37.075
0.059 37.226
0.061 37.274
0.062 37.120
0.062 37.376
0.063 37.204
0.064 37.289
0.064 37.287
0.065 37.434
0.065 37.525
0.065 37.198
0.067 37.884
0.067 37.295
0.068 37.577
0.069 37.430
0.069 37.559
0.071 37.526
0.074 37.789
0.075 37.794
0.076 37.730
0.077 37.836
0.079 37.645
0.080 37.763
0.080 37.791
0.081 38.112
0.083 37.903
0.084 37.816
0.085 37.904
0.086 38.331
0.087 38.014
0.088 38.228
0.089 37.906
0.091 37.977
0.094 38.264
0.094 38.435
0.099 38.451
0.099 38.327
0.099 38.473
0.101 38.127
0.101 38.114
0.101 38.428
0.101 38.589
0.102 38.970
0.102 38.082
0.103 38.558
0.103 38.442
0.103 38.644
0.104 38.156
0.105 38.971
0.106 38.517
0.107 38.369
0.112 38.360
0.114 38.461
0.115 38.478
0.116 38.682
0.116 38.722
0.116 38.706
0.116 38.726
0.117 38.535
0.118 38.705
0.118 38.798
0.118 38.538
0.118 38.806
0.119 38.664
0.120 38.651
0.121 38.783
0.121 39.002
0.122 38.962
0.123 38.744
0.124 39.280
0.125 38.659
0.125 39.117
0.125 39.017
0.125 38.945
0.126 39.066
0.126 38.920
0.127 38.450
0.127 38.928
0.128 38.996
0.128 38.950
0.128 39.297
0.130 39.331
0.130 38.761
0.130 38.790
0.131 38.929
0.132 39.430
0.132 38.944
0.133 38.980
0.133 39.307
0.136 39.127
0.138 39.509
0.139 39.070
0.141 38.935
0.144 39.347
0.144 39.200
0.145 39.377
0.146 39.206
0.148 39.443
0.148 39.532
0.149 39.573
0.150 39.396
0.150 39.425
0.150 39.520
0.150 39.436
0.152 39.426
0.152 39.179
0.153 39.489
0.154 39.381
0.154 39.694
0.154 39.103
0.154 39.486
0.159 39.347
0.159 39.377
0.161 39.382
0.161 39.396
0.161 39.940
0.162 39.567
0.163 39.480
0.163 39.595
0.164 39.439
0.167 39.875
0.169 39.762
0.169 39.635
0.170 39.642
0.171 39.767
0.171 39.659
0.172 39.873
0.172 39.564
0.172 39.871
0.173 39.584
0.177 39.922
0.178 39.957
0.179 39.552
0.181 39.880
0.181 39.671
0.184 39.879
0.185 39.902
0.186 39.562
0.186 39.810
0.187 39.955
0.187 39.834
0.187 39.477
0.188 40.143
0.188 39.847
0.188 39.703
0.189 39.829
0.189 39.789
0.191 39.953
0.192 40.052
0.194 39.882
0.195 39.989
0.195 39.900
0.196 39.870
0.196 40.172
0.196 39.986
0.197 39.960
0.198 39.703
0.200 40.071
0.202 40.189
0.203 40.053
0.203 39.770
0.205 39.891
0.206 40.305
0.207 39.819
0.207 39.999
0.207 40.074
0.208 40.290
0.208 40.325
0.209 40.404
0.210 40.239
0.210 40.079
0.213 40.002
0.213 40.041
0.214 39.886
0.214 40.290
0.215 40.122
0.218 40.303
0.218 40.339
0.219 40.428
0.221 40.192
0.221 40.307
0.222 40.358
0.222 40.198
0.223 40.317
0.225 40.140
0.226 40.264
0.226 39.869
0.227 40.558
0.229 40.289
0.230 39.879
0.231 40.115
0.235 40.426
0.237 40.608
0.239 40.364
0.239 40.719
0.242 40.137
0.242 40.510
0.242 40.492
0.244 40.691
0.245 40.489
0.246 40.974
0.246 41.053
0.247 40.709
0.248 40.525
0.249 40.706
0.252 40.539
0.252 40.335
0.252 40.468
0.253 40.413
0.254 40.962
0.255 40.669
0.256 40.664
0.256 40.503
0.257 40.864
0.258 40.500
0.258 40.868
0.258 40.730
0.260 40.842
0.260 40.445
0.261 40.736
0.261 40.275
0.263 40.789
0.264 40.679
0.266 40.987
0.266 40.982
0.269 40.570
0.270 40.525
0.270 41.026
0.274 40.720
0.274 40.851
0.274 40.710
0.276 40.632
0.276 41.070
0.277 40.773
0.277 40.505
0.279 40.798
0.281 40.729
0.284 41.035
0.285 40.888
0.290 40.549
0.290 40.955
0.293 40.709
0.294 41.177
0.295 41.048
0.295 41.080
0.296 41.103
0.299 41.150
0.299 40.710
0.299 40.885
0.300 40.938
0.300 41.071
0.301 40.624
0.302 41.027
0.303 41.062
0.303 41.081
0.303 41.016
0.304 41.388
0.307 41.109
0.308 41.038
0.308 41.038
0.309 41.095
0.309 41.112
0.309 41.157
0.313 41.010
0.314 41.133
0.318 41.246
0.319 41.490
0.319 41.261
0.319 41.477
0.322 41.390
0.323 41.246
0.325 41.196
0.327 41.436
0.328 40.954
0.329 41.191
0.329 41.327
0.332 41.150
0.332 41.641
0.333 41.407
0.334 41.062
0.336 41.267
0.337 41.764
0.339 41.065
0.339 41.305
0.340 41.234
0.340 41.557
0.340 41.325
0.341 41.039
0.341 41.285
0.342 41.535
0.343 41.021
0.343 41.530
0.346 41.524
0.347 41.735
0.348 41.265
0.349 41.238
0.349 41.121
0.349 41.541
0.350 41.477
0.350 41.153
0.350 40.781
0.351 41.566
