# Error in mu 0.20
# Photo-z Error 0.010
# z   mu
0.018 34.199
0.012 34.336
0.021 34.590
0.032 34.123
0.017 34.708
0.027 34.538
0.026 34.553
0.034 34.747
0.038 34.942
0.012 35.278
0.009 35.448
0.024 34.985
0.019 35.388
0.028 35.215
0.025 35.532
0.021 35.209
0.032 35.220
0.025 35.697
0.021 35.638
0.007 35.487
0.015 35.526
0.038 35.656
0.032 36.002
0.037 36.156
0.022 36.245
0.053 36.374
0.031 36.279
0.029 35.977
0.030 36.379
0.049 36.422
0.056 35.957
0.040 36.383
0.047 36.530
0.049 36.405
0.070 36.898
0.041 36.698
0.066 36.299
0.022 36.957
0.028 36.764
0.044 36.663
0.063 36.599
0.044 36.927
0.057 36.936
0.061 37.044
0.053 37.504
0.059 36.906
0.049 37.290
0.059 37.726
0.047 37.139
0.074 37.353
0.059 37.417
0.055 37.458
0.067 37.496
0.061 37.366
0.060 37.656
0.077 37.470
0.067 37.700
0.077 37.524
0.050 37.392
0.064 37.568
0.077 37.683
0.079 37.685
0.088 37.879
0.062 37.780
0.072 37.676
0.062 37.396
0.072 37.617
0.077 37.554
0.083 37.730
0.085 37.954
0.049 37.830
0.072 37.829
0.077 37.626
0.071 37.959
0.083 38.036
0.091 37.689
0.082 38.161
0.062 37.952
0.085 38.131
0.073 38.046
0.106 37.978
0.104 38.141
0.097 38.368
0.089 38.006
0.091 38.265
0.085 38.087
0.084 38.270
0.092 38.627
0.102 38.285
0.098 38.451
0.116 38.578
0.113 38.448
0.097 38.614
0.118 38.854
0.099 38.685
0.107 38.273
0.099 38.506
0.090 38.737
0.109 38.426
0.102 38.561
0.097 38.957
0.125 39.119
0.122 38.978
0.113 38.992
0.136 38.666
0.126 38.774
0.128 39.005
0.126 39.012
0.129 38.725
0.135 38.855
0.144 38.878
0.120 39.148
0.134 38.644
0.130 38.659
0.127 38.907
0.149 39.193
0.156 38.858
0.126 39.051
0.129 38.941
0.111 38.906
0.121 39.027
0.144 38.971
0.133 39.474
0.153 39.152
0.158 39.194
0.131 39.435
0.141 39.554
0.124 39.186
0.155 39.790
0.158 39.909
0.148 39.348
0.148 39.277
0.148 39.505
0.154 39.218
0.128 39.559
0.137 39.489
0.167 39.147
0.168 39.409
0.164 39.414
0.174 39.394
0.151 39.187
0.147 39.728
0.147 39.429
0.161 40.062
0.160 39.555
0.161 39.597
0.179 39.380
0.166 39.784
0.155 39.804
0.193 39.532
0.179 39.482
0.184 39.519
0.163 39.708
0.160 40.108
0.173 39.837
0.169 39.787
0.171 39.910
0.177 39.836
0.172 39.442
0.197 39.663
0.166 39.299
0.178 39.995
0.185 39.627
0.175 39.591
0.171 40.213
0.167 39.918
0.177 39.627
0.168 39.696
0.163 39.906
0.172 39.854
0.175 39.757
0.177 39.440
0.172 39.805
0.184 39.820
0.171 39.841
0.200 39.857
0.177 39.884
0.176 39.496
0.178 39.572
0.187 39.898
0.194 39.542
0.160 39.867
0.193 40.082
0.156 39.682
0.179 39.771
0.229 39.704
0.180 39.816
0.175 39.682
0.206 40.061
0.212 40.014
0.194 39.882
0.195 40.043
0.202 40.110
0.206 40.267
0.223 40.083
0.191 40.114
0.196 39.899
0.206 40.131
0.180 39.736
0.200 39.846
0.220 40.379
0.213 39.905
0.193 40.145
0.222 40.441
0.219 40.149
0.229 40.203
0.216 40.500
0.227 40.031
0.199 40.128
0.203 39.795
0.210 40.417
0.245 40.274
0.214 40.219
0.220 40.574
0.195 40.017
0.223 40.001
0.215 40.264
0.233 40.306
0.233 40.343
0.243 40.191
0.233 40.816
0.236 40.582
0.250 40.685
0.235 40.607
0.238 40.743
0.230 40.763
0.232 40.853
0.230 40.555
0.214 40.618
0.244 41.042
0.237 40.197
0.243 40.145
0.220 40.525
0.224 40.358
0.257 40.648
0.245 40.657
0.246 40.870
0.259 40.494
0.281 40.398
0.278 40.679
0.263 40.634
0.258 40.589
0.228 40.469
0.250 40.688
0.281 40.957
0.252 40.806
0.260 40.685
0.260 40.747
0.272 40.107
0.237 40.674
0.259 40.535
0.289 40.770
0.259 40.615
0.276 40.389
0.278 40.401
0.265 40.884
0.260 41.120
0.270 40.890
0.248 40.461
0.276 41.157
0.267 41.007
0.247 40.699
0.254 40.433
0.270 40.997
0.275 41.161
0.275 40.702
0.289 40.862
0.300 40.888
0.284 40.989
0.290 40.684
0.278 40.686
0.281 40.765
0.294 40.862
0.259 40.890
0.270 41.006
0.279 40.856
0.288 40.613
0.295 40.596
0.314 40.824
0.284 40.991
0.299 40.825
0.292 41.189
0.315 40.989
0.289 40.798
0.306 40.590
0.293 40.821
0.292 41.027
0.298 40.580
0.306 41.413
0.297 40.906
0.315 41.407
0.311 40.993
0.303 40.907
0.314 40.993
0.319 41.251
0.289 41.089
0.316 41.278
0.292 40.794
0.317 41.363
0.313 41.043
0.318 41.146
0.318 41.082
0.320 41.039
0.304 41.535
0.293 41.472
0.318 41.178
0.328 41.453
0.357 40.973
0.292 41.287
0.326 41.226
0.337 41.157
0.338 41.161
0.322 41.168
0.314 41.033
0.317 41.150
0.342 41.239
0.325 41.440
0.329 41.337
0.315 41.038
0.328 40.980
0.313 40.978
0.298 41.283
0.337 41.061
0.352 41.062
0.345 41.443
0.337 41.406
0.330 40.931
0.309 40.980
0.333 41.626
0.306 41.277
0.332 41.192
0.366 41.333
0.347 41.466
0.314 41.344
0.338 41.124
0.334 41.245
0.350 41.431
0.360 41.763
0.354 41.143
0.327 41.518
0.337 40.957
0.350 41.378
0.345 41.132
0.305 41.469
0.349 41.335
0.355 41.523
0.340 41.676
0.363 41.494
0.338 41.175
0.349 41.364
0.357 41.258
0.348 41.157
0.336 41.451
0.335 41.703
0.362 41.340
0.367 41.470
0.356 41.591
0.380 41.659
0.374 41.626
0.346 41.337
0.366 41.379
0.352 41.690
0.378 41.444
0.346 41.493
0.370 41.107
0.359 41.725
0.355 41.276
0.369 41.409
0.375 41.427
0.383 41.525
0.372 41.517
0.363 41.639
0.367 41.458
0.385 41.819
0.370 41.693
0.339 41.765
0.400 41.697
0.367 41.485
0.400 41.566
0.398 41.731
0.398 41.635
0.366 41.354
0.402 41.793
0.390 41.767
0.399 41.841
0.367 41.741
0.395 41.724
0.380 41.798
0.396 41.286
0.398 41.697
0.381 41.671
0.383 41.551
0.359 41.701
0.419 41.998
0.410 41.720
0.393 41.560
0.396 41.892
0.393 41.385
0.404 41.855
0.411 41.758
0.397 42.052
0.386 41.761
0.430 41.903
0.430 41.786
0.405 41.993
0.409 41.670
0.415 41.960
0.407 42.166
0.427 41.720
0.403 41.706
0.418 41.779
0.408 42.226
0.447 41.637
0.428 41.943
0.430 41.877
0.428 41.970
0.439 41.816
0.412 41.793
0.449 41.982
0.410 41.989
0.437 42.006
0.436 41.931
0.443 41.800
0.442 41.942
0.418 41.649
0.442 42.429
0.431 41.757
0.407 42.180
0.454 41.946
0.438 41.822
0.434 41.906
0.461 42.014
0.432 42.014
0.445 41.534
0.455 42.088
0.433 42.250
0.419 41.632
0.473 41.784
0.454 42.239
0.423 42.314
0.442 42.172
0.446 41.949
0.427 42.025
0.448 41.701
0.464 41.903
0.432 41.741
0.450 42.111
0.430 41.799
0.446 42.333
0.465 42.257
0.461 42.287
0.437 42.055
0.445 42.058
0.472 41.885
0.442 41.959
0.499 41.691
0.465 42.227
0.443 42.267
0.463 41.850
0.471 42.046
0.448 42.114
0.454 42.317
0.488 42.225
0.495 42.223
0.477 42.383
0.492 42.489
0.477 42.013
0.500 42.338
0.489 42.003
0.493 41.887
0.489 41.868
0.483 42.108
0.491 42.052
0.500 42.297
0.472 42.205
0.463 42.243
0.472 42.360
0.487 42.335
0.517 42.261
0.507 41.897
0.494 42.699
0.521 42.265
0.460 42.315
0.483 42.188
0.496 42.447
0.510 42.544
0.507 42.527
0.515 42.298
0.504 42.394
0.510 42.316
0.514 42.442
0.519 42.341
0.482 42.421
0.501 42.226
0.489 41.904
0.503 42.542
0.518 42.617
0.499 42.322
0.516 41.976
0.517 42.435
0.505 42.962
0.523 42.314
0.521 42.348
0.524 42.107
0.490 42.330
0.505 42.386
0.525 42.574
0.516 42.255
0.528 42.408
0.542 42.389
0.499 42.374
0.545 42.316
0.535 42.542
0.522 42.570
0.542 42.530
0.529 42.732
0.529 42.702
0.576 42.287
0.509 42.316
0.550 42.346
0.529 42.652
0.519 42.649
0.516 42.582
0.506 42.829
0.548 42.759
0.534 42.725
0.531 42.285
0.549 42.945
0.552 42.683
0.539 42.393
0.533 42.347
0.542 42.315
0.560 42.908
0.549 42.839
0.540 42.737
0.535 42.595
0.536 42.704
0.541 42.620
0.538 42.382
0.527 42.903
0.546 42.882
0.568 42.646
0.564 42.712
0.572 42.437
0.585 42.656
0.563 42.312
0.558 42.417
0.572 42.727
0.563 42.821
0.545 42.500
0.562 42.746
0.542 42.553
0.555 42.837
0.551 42.755
0.589 42.616
0.602 42.547
0.548 42.874
0.587 42.249
0.565 42.505
0.580 42.920
0.590 42.482
0.586 42.548
0.583 42.586
0.584 42.758
0.549 42.800
0.599 42.490
0.563 42.559
0.576 42.473
0.557 42.600
0.539 42.571
0.567 42.293
0.531 43.252
0.585 42.821
0.550 42.818
0.580 42.600
0.618 42.903
0.583 42.446
0.565 42.833
0.596 42.896
0.617 42.852
0.595 43.151
0.599 42.561
0.601 42.616
0.616 42.786
0.591 42.754
0.600 42.954
0.610 42.675
0.572 42.570
0.588 42.593
0.606 43.092
0.603 42.806
0.607 42.950
0.600 42.616
0.613 43.070
0.597 42.973
0.632 42.601
0.593 42.739
0.627 42.648
0.622 42.847
0.607 43.328
0.616 43.274
0.622 42.553
0.615 42.678
0.610 43.086
0.602 43.017
0.612 43.172
0.604 42.657
0.611 42.862
0.608 42.927
0.634 42.904
0.611 42.547
0.646 43.386
0.616 42.729
0.640 42.940
0.621 42.965
0.633 42.696
0.629 43.087
0.647 43.112
0.649 43.055
0.651 42.850
0.672 43.156
0.601 42.705
0.685 43.068
0.605 43.134
0.638 43.064
0.601 42.818
0.619 42.945
0.630 43.093
0.622 43.180
0.633 42.822
0.653 42.604
0.617 42.711
0.658 43.036
0.646 43.188
0.649 43.036
0.628 43.110
0.651 42.799
0.675 42.685
0.663 43.132
0.662 43.096
0.627 43.149
0.646 42.331
0.681 42.692
0.667 43.086
0.670 43.240
0.652 43.113
0.649 42.836
0.646 43.297
0.631 43.198
0.664 43.170
0.643 43.078
0.618 42.969
0.677 42.887
0.671 42.906
0.670 43.100
0.658 42.864
0.653 43.059
0.681 42.811
0.665 43.477
0.658 43.228
0.670 42.971
0.687 42.968
0.660 43.209
0.676 43.129
0.683 42.951
0.686 43.182
0.679 43.113
0.651 43.184
0.681 43.095
0.681 43.005
0.659 43.042
0.650 43.123
0.656 43.167
0.688 43.262
0.676 43.059
0.681 43.253
0.701 42.963
0.691 43.012
0.655 43.551
0.702 43.144
0.721 43.101
0.656 43.382
0.718 42.884
0.691 43.105
0.709 43.135
0.692 43.241
0.675 43.235
0.695 43.209
0.681 43.272
0.682 43.348
0.662 43.171
0.684 43.313
0.704 43.225
0.700 43.409
0.691 43.334
0.701 43.436
0.711 43.420
0.689 43.642
0.688 43.427
0.700 43.320
0.727 43.223
0.699 43.232
0.694 43.214
0.706 43.326
0.687 43.014
0.669 43.060
0.717 43.421
0.707 43.232
0.706 43.162
0.724 43.084
0.710 43.292
0.719 43.456
0.745 43.093
0.681 43.129
0.703 43.709
0.692 42.937
0.706 43.344
0.701 43.522
0.693 43.733
0.712 43.410
0.714 43.357
0.736 43.517
0.717 43.577
0.710 43.424
0.741 43.344
0.735 43.580
0.714 43.606
0.747 43.141
0.732 43.490
0.723 43.552
0.752 43.643
0.747 43.253
0.755 43.708
0.715 43.110
0.739 43.568
0.748 43.336
0.753 43.359
0.715 42.968
0.740 43.275
0.728 43.428
0.768 43.297
0.758 43.511
0.760 43.278
0.744 43.484
0.755 43.457
0.742 43.529
0.756 43.257
0.757 43.340
0.732 43.594
0.745 43.251
0.767 43.430
0.760 43.746
0.759 43.197
0.788 43.859
0.763 43.395
0.728 43.170
0.746 43.649
0.745 43.139
0.778 43.134
0.744 43.509
0.761 42.947
0.752 43.384
0.785 43.246
0.757 43.385
0.757 43.185
0.751 43.758
0.765 43.501
0.796 43.304
0.740 43.176
0.749 43.500
0.792 43.368
0.804 43.492
0.800 43.652
0.783 43.528
0.792 43.100
0.750 43.688
0.779 43.232
0.788 43.360
0.759 43.527
0.770 43.523
0.776 43.472
0.781 43.428
0.775 43.419
0.795 43.857
0.774 43.504
0.792 43.188
0.783 43.209
0.777 43.225
0.786 43.439
0.787 43.168
0.798 43.809
0.775 43.556
0.795 43.190
0.806 43.673
0.784 43.162
0.773 43.516
0.808 43.363
0.821 43.577
0.792 43.570
0.791 43.328
0.801 43.703
0.801 43.481
0.828 43.526
0.829 43.589
0.782 43.576
0.828 43.643
0.784 43.769
0.794 43.702
0.803 43.531
0.794 43.434
0.792 43.505
0.817 43.628
0.805 43.594
0.821 43.570
0.805 43.690
0.823 43.373
0.791 43.750
0.821 43.495
0.830 43.120
0.821 43.604
0.797 43.434
0.790 43.597
0.834 43.426
0.829 43.615
0.831 43.839
0.829 43.486
0.848 43.553
0.816 43.430
0.817 43.670
0.843 43.531
0.848 43.773
0.824 43.301
0.844 43.950
0.821 43.978
0.802 44.066
0.836 43.876
0.843 43.653
0.829 43.814
0.832 43.721
0.864 43.063
0.844 43.558
0.822 43.679
0.820 43.783
0.870 43.531
0.845 43.920
0.841 43.606
0.853 43.673
0.836 43.762
0.846 43.477
0.839 43.679
0.860 43.571
0.827 43.839
0.861 43.551
0.877 43.829
0.808 43.661
0.841 43.486
0.882 43.946
0.863 43.787
0.858 44.088
0.853 43.687
0.846 43.798
0.836 44.161
0.861 43.607
0.831 43.718
0.842 43.688
0.832 43.817
0.867 43.750
0.862 43.648
0.850 43.486
0.879 43.864
0.861 44.308
0.857 43.499
0.861 43.937
0.898 43.936
0.881 43.639
0.883 43.863
0.912 44.315
0.898 43.752
0.898 44.210
0.892 44.203
0.878 43.627
0.856 43.454
0.905 43.288
0.887 43.874
0.875 43.986
0.924 43.695
0.915 43.941
0.925 43.634
0.883 44.001
0.897 44.053
0.895 44.177
0.884 43.636
0.891 43.924
0.906 44.040
0.901 43.690
0.891 43.746
0.895 44.003
0.897 43.720
0.885 43.780
0.883 43.734
0.904 44.141
0.862 43.857
0.896 43.422
0.933 43.780
0.888 43.781
0.945 43.729
0.893 43.924
0.896 43.976
0.884 44.100
0.922 43.936
0.937 43.954
0.934 44.078
0.901 43.981
0.913 43.757
0.932 44.171
0.909 44.049
0.912 43.888
0.884 43.805
0.946 44.133
0.936 44.191
0.927 43.755
0.915 44.029
0.933 43.802
0.928 43.966
0.913 43.878
0.941 44.090
0.930 44.120
0.927 43.756
0.940 43.885
0.942 43.732
0.945 44.197
0.938 44.117
0.924 43.884
0.886 43.931
0.941 44.009
0.983 43.621
0.931 43.894
0.939 44.098
0.936 43.881
0.952 44.001
0.941 43.375
0.915 43.915
0.922 43.718
0.931 44.164
0.959 44.210
0.941 43.993
0.936 44.198
0.920 43.828
0.961 43.658
0.983 44.330
0.945 43.885
0.957 43.978
0.951 44.192
0.932 43.920
0.959 44.379
0.952 44.250
0.936 44.138
0.971 43.822
0.960 44.525
0.972 44.283
0.970 44.199
0.925 43.724
0.928 44.276
0.945 43.642
0.956 43.974
1.002 44.568
0.981 44.152
0.944 44.222
1.006 44.194
0.984 44.200
1.003 43.901
0.985 44.067
1.030 44.321
0.979 44.187
0.985 44.210
0.953 44.058
0.974 44.024
0.974 44.204
1.016 44.066
0.986 44.103
0.978 44.016
0.966 44.140
0.975 44.236
1.011 44.066
0.986 43.960
0.967 44.362
0.985 44.302
0.985 44.330
0.981 44.147
0.998 43.928
1.026 43.940
1.022 44.158
0.995 43.926
1.014 44.245
1.021 44.071
1.008 44.015
0.983 44.644
0.992 44.018
0.998 44.354
1.017 44.339
