# Error in mu 0.20
# Average sig_z 0.10
# z   z2   mu
0.017 0.017 34.357
0.019 0.019 34.795
0.020 0.020 34.562
0.020 0.020 34.792
0.021 0.021 34.384
0.021 0.021 34.751
0.022 0.022 35.274
0.023 0.023 35.210
0.028 0.028 35.281
0.028 0.028 35.327
0.031 0.031 35.625
0.031 0.031 35.849
0.031 0.031 35.791
0.031 0.031 35.953
0.033 0.033 35.931
0.034 0.034 35.909
0.034 0.034 35.957
0.040 0.040 36.415
0.040 0.040 36.251
0.041 0.041 36.336
0.041 0.041 36.969
0.041 0.041 36.273
0.044 0.044 36.238
0.044 0.044 36.919
0.045 0.045 36.759
0.046 0.046 36.803
0.047 0.047 36.630
0.047 0.047 36.748
0.047 0.047 36.876
0.049 0.049 36.714
0.049 0.049 36.934
0.050 0.050 36.871
0.054 0.054 36.987
0.056 0.056 36.998
0.057 0.057 36.847
0.058 0.058 37.138
0.060 0.060 37.493
0.062 0.062 37.315
0.062 0.062 37.109
0.063 0.063 37.107
0.063 0.063 37.281
0.065 0.065 37.625
0.066 0.066 37.225
0.068 0.068 37.449
0.069 0.069 37.753
0.072 0.072 37.630
0.072 0.072 37.371
0.072 0.072 37.779
0.074 0.074 37.783
0.075 0.075 37.511
0.076 0.076 37.874
0.077 0.077 38.241
0.078 0.078 37.998
0.078 0.078 37.835
0.080 0.080 37.800
0.084 0.084 37.969
0.085 0.085 37.982
0.086 0.086 37.660
0.087 0.087 38.478
0.089 0.089 38.310
0.090 0.090 38.110
0.090 0.090 37.901
0.090 0.090 38.403
0.090 0.090 38.257
0.091 0.091 38.542
0.092 0.092 38.328
0.092 0.092 38.216
0.092 0.092 37.973
0.095 0.095 38.326
0.096 0.096 38.531
0.097 0.097 38.338
0.098 0.098 37.788
0.100 0.100 38.563
0.100 0.100 37.879
0.100 0.162 38.108
0.119 0.101 38.492
0.102 0.125 38.023
0.102 0.096 38.101
0.105 0.304 38.730
0.107 0.100 38.680
0.109 0.064 38.700
0.110 0.196 38.445
0.112 0.248 38.591
0.114 0.158 38.889
0.115 0.057 38.862
0.115 0.278 38.571
0.117 0.154 38.685
0.119 0.167 38.906
0.119 0.123 38.395
0.176 0.121 38.737
0.121 0.180 38.742
0.121 0.179 38.924
0.122 0.082 39.197
0.123 0.100 38.972
0.125 0.070 39.118
0.125 0.001 38.760
0.125 0.146 39.016
0.128 0.086 38.456
0.128 0.069 38.710
0.129 0.285 38.953
0.129 0.047 38.976
0.130 0.116 38.870
0.130 0.203 38.858
0.133 0.033 39.014
0.135 0.158 39.229
0.136 0.157 38.753
0.137 0.291 38.990
0.137 0.106 39.433
0.137 0.302 38.729
0.137 0.087 39.160
0.137 0.083 39.334
0.138 0.187 38.948
0.139 0.046 39.274
0.140 0.159 39.491
0.173 0.141 39.281
0.146 0.064 39.224
0.147 0.303 39.313
0.148 0.338 39.324
0.149 0.163 39.412
0.150 0.053 39.311
0.150 0.174 39.324
0.151 0.280 39.570
0.152 0.121 38.972
0.152 0.288 39.192
0.152 0.145 39.362
0.152 0.141 39.472
0.153 0.168 39.613
0.154 0.169 39.668
0.156 0.075 39.697
0.156 0.050 39.717
0.166 0.157 39.535
0.124 0.158 39.099
0.159 0.086 39.469
0.134 0.160 39.259
0.162 0.051 39.436
0.162 0.255 39.377
0.254 0.163 39.387
0.165 0.115 39.966
0.166 0.249 39.558
0.167 0.311 39.790
0.167 0.062 39.590
0.167 0.038 39.850
0.168 0.117 39.409
0.169 0.270 39.740
0.172 0.188 39.765
0.172 0.161 39.530
0.172 0.207 39.506
0.172 0.170 39.769
0.173 0.007 39.382
0.175 0.211 39.917
0.201 0.175 39.624
