# Error in mu 0.20
# z   mu
0.015 34.237
0.017 34.604
0.018 34.467
0.019 34.584
0.020 34.499
0.021 34.948
0.022 34.799
0.024 35.363
0.025 35.415
0.025 35.042
0.026 34.846
0.027 35.483
0.029 35.644
0.029 35.572
0.029 35.569
0.031 36.004
0.035 35.947
0.035 36.158
0.036 36.254
0.037 35.843
0.040 36.249
0.041 36.204
0.041 36.535
0.042 36.887
0.042 36.611
0.042 36.532
0.042 36.363
0.043 36.179
0.044 36.517
0.045 36.109
0.045 36.575
0.047 36.871
0.047 36.446
0.049 36.964
0.049 36.656
0.049 36.678
0.050 36.933
0.051 36.526
0.053 37.008
0.054 36.958
0.055 36.850
0.058 37.001
0.059 36.870
0.060 37.388
0.060 36.821
0.062 37.451
0.062 37.471
0.063 36.916
0.064 37.431
0.064 37.588
0.064 37.198
0.065 37.528
0.065 37.370
0.065 37.467
0.068 37.115
0.069 37.331
0.072 37.525
0.072 37.638
0.072 37.626
0.072 37.649
0.073 37.083
0.073 37.443
0.074 37.796
0.074 37.423
0.075 37.657
0.075 37.571
0.075 37.890
0.076 37.722
0.077 37.829
0.078 37.705
0.079 37.759
0.080 38.294
0.080 38.189
0.081 38.146
0.081 37.573
0.082 38.073
0.082 38.012
0.083 37.519
0.083 38.040
0.084 37.857
0.085 37.939
0.087 38.197
0.088 37.887
0.089 38.094
0.090 38.230
0.093 38.278
0.094 38.264
0.095 38.144
0.097 38.136
0.097 38.301
0.097 38.366
0.097 38.479
0.097 38.293
0.099 38.214
0.099 38.336
0.100 38.592
0.100 38.334
0.141 38.533
0.169 38.350
0.103 38.311
0.151 38.195
0.196 38.686
0.107 38.685
0.186 38.726
0.094 38.473
0.076 38.815
0.071 38.753
0.120 38.753
0.078 38.523
0.058 38.732
0.095 38.805
0.172 38.819
0.112 39.041
0.051 38.863
0.139 38.873
0.181 38.884
0.085 38.724
0.070 39.046
0.114 38.970
0.136 38.994
0.149 38.643
0.190 38.830
0.088 39.070
0.078 38.817
0.212 39.268
0.126 38.964
0.086 39.079
0.146 39.076
0.086 39.031
0.150 38.923
0.152 38.730
0.124 38.940
0.174 38.983
0.121 39.480
0.135 38.931
0.162 39.087
0.187 39.282
0.168 39.460
0.208 39.367
0.205 39.388
0.155 39.613
0.202 39.293
0.181 39.262
0.066 39.559
0.212 38.951
0.184 39.342
0.206 39.671
0.083 39.049
0.146 39.407
0.193 39.568
0.213 39.534
0.154 39.751
0.152 39.793
0.135 39.344
0.149 39.528
0.144 39.107
0.177 39.555
0.241 39.339
0.254 39.534
0.216 39.460
0.113 39.672
0.102 39.768
0.201 39.911
0.064 39.754
0.269 39.491
0.223 39.710
0.229 39.709
0.106 39.497
0.203 39.466
0.250 39.677
0.188 39.561
0.219 39.660
0.154 39.427
0.170 39.824
0.192 39.926
0.261 40.143
0.187 39.659
0.148 39.844
0.183 39.806
0.233 40.395
0.166 39.760
0.169 40.164
0.260 39.859
0.197 40.191
0.260 40.332
0.202 40.102
0.208 40.028
0.180 39.814
0.248 39.894
0.107 40.123
0.216 40.080
0.236 40.326
0.180 39.929
0.175 39.651
0.196 39.837
0.167 39.805
0.122 40.265
0.214 39.711
0.165 40.031
0.188 39.951
0.275 39.992
0.287 40.201
0.179 39.990
0.254 39.566
0.171 40.267
0.248 39.718
0.228 40.148
0.232 40.203
0.259 39.963
0.201 40.296
0.188 40.273
0.125 40.476
0.292 40.094
0.257 40.173
0.267 40.272
0.315 40.254
0.210 40.126
0.166 40.450
0.213 40.182
0.281 40.722
0.261 40.355
0.232 39.999
0.189 40.356
0.265 40.597
0.223 40.283
0.224 40.457
0.287 40.531
0.206 40.253
0.166 40.728
0.203 40.444
0.285 40.490
0.181 40.638
0.246 40.454
0.188 40.208
0.267 40.508
0.304 40.352
0.271 40.499
0.175 40.408
0.218 40.650
0.304 40.305
0.225 40.205
0.205 40.544
0.215 40.483
0.194 40.482
0.232 40.538
0.262 40.489
0.280 40.481
0.226 40.720
0.352 40.666
0.245 40.443
0.262 40.613
0.252 40.933
0.234 40.502
0.195 40.612
0.236 40.353
0.136 40.693
0.326 40.603
0.276 40.893
0.264 40.904
0.234 40.843
0.389 40.933
0.262 40.756
0.237 40.898
0.273 40.932
0.312 41.046
0.281 40.788
0.270 40.802
0.315 41.097
0.344 40.956
0.416 40.853
0.292 40.657
0.223 40.573
0.295 41.103
0.222 41.008
0.293 40.807
0.297 40.734
0.351 41.220
0.272 40.810
0.248 40.803
0.306 40.990
0.307 40.994
0.339 41.040
0.291 40.803
0.319 40.725
0.236 40.948
0.275 40.956
0.279 40.762
0.277 41.108
0.269 40.460
0.258 40.708
0.359 41.445
0.234 40.797
0.308 40.928
0.310 41.120
0.242 40.976
0.363 40.850
0.282 40.944
0.333 40.869
0.153 40.817
0.263 41.360
0.276 41.026
0.205 41.194
0.371 40.968
0.325 41.203
0.285 41.324
0.353 41.320
0.314 41.328
0.297 40.772
0.245 40.602
0.352 41.438
0.361 41.047
0.328 41.201
0.391 41.083
0.320 41.020
0.444 41.366
0.354 41.347
0.374 41.267
0.270 41.134
0.280 41.107
0.296 41.137
0.385 41.058
0.354 41.325
0.321 41.378
0.352 41.097
0.401 41.320
0.360 41.351
0.386 41.113
0.356 41.052
0.372 40.984
0.387 40.970
0.235 41.170
0.326 41.041
0.330 41.117
0.267 41.889
0.337 41.234
0.446 41.031
0.343 41.264
0.388 41.556
0.349 41.405
0.367 41.196
0.378 41.278
0.261 41.176
0.330 41.594
0.356 41.313
0.350 41.165
0.353 41.151
0.290 41.279
0.317 41.535
0.306 41.270
0.288 41.131
0.325 41.251
0.330 41.769
0.392 41.533
0.442 41.547
0.365 41.401
0.334 41.574
0.283 41.211
0.290 41.444
0.380 41.034
0.314 41.530
0.435 41.158
0.313 41.065
0.409 41.565
0.303 41.571
0.455 41.364
0.353 41.219
0.315 41.518
0.398 41.536
0.358 41.546
0.279 41.591
0.384 41.717
0.413 41.352
0.440 41.630
0.376 41.392
0.397 41.247
0.327 41.729
0.382 41.639
0.484 41.720
0.392 41.616
0.451 41.405
0.354 41.630
0.389 42.047
0.340 41.587
0.464 41.347
0.455 41.412
0.346 41.633
0.471 41.874
0.449 41.695
0.464 41.555
0.448 41.678
0.391 41.509
0.298 41.980
0.397 41.431
0.365 42.226
0.389 41.452
0.352 41.877
0.397 41.853
0.406 41.927
0.387 41.575
0.501 41.596
0.383 41.609
0.385 41.857
0.368 41.882
0.388 41.873
0.373 41.631
0.456 41.958
0.375 41.850
0.396 41.862
0.371 41.985
0.487 41.841
0.348 42.085
0.392 41.901
0.465 41.670
0.415 41.789
0.433 41.782
0.429 41.575
0.448 42.490
0.503 42.142
0.408 41.703
0.338 41.734
0.423 41.430
0.380 41.855
0.430 41.741
0.432 41.521
0.479 41.715
0.437 41.700
0.484 42.135
0.424 42.017
0.457 41.817
0.378 41.938
0.352 41.785
0.447 41.872
0.612 41.965
0.361 41.936
0.428 42.061
0.440 41.542
0.342 41.936
0.451 41.981
0.451 41.939
0.503 42.084
0.421 41.914
0.445 41.972
0.406 42.016
0.428 42.457
0.471 42.052
0.361 41.913
0.406 42.082
0.471 42.232
0.445 42.370
0.495 41.825
0.508 42.125
0.392 42.114
0.469 42.403
0.435 42.079
0.335 41.999
0.388 42.066
0.500 41.840
0.447 41.881
0.487 42.105
0.372 41.966
0.536 42.154
0.501 41.767
0.471 42.077
0.444 42.003
0.302 41.909
0.409 42.172
0.475 42.353
0.467 42.219
0.517 41.913
0.565 42.388
0.444 42.110
0.428 42.132
0.505 42.247
0.438 41.758
0.444 41.696
0.378 42.029
0.428 42.229
0.508 42.152
0.474 41.994
0.460 42.216
0.430 41.915
0.486 42.206
0.478 42.234
0.449 42.215
0.373 42.401
0.456 41.951
0.574 42.471
0.476 42.331
0.478 42.478
0.487 42.080
0.399 42.118
0.525 42.385
0.524 42.046
0.451 41.984
0.459 42.411
0.507 42.347
0.342 42.306
0.424 42.183
0.578 42.317
0.444 42.146
0.443 42.444
0.399 42.217
0.435 42.147
0.467 42.083
0.499 42.325
0.519 42.449
0.553 42.405
0.546 42.613
0.565 42.548
0.541 42.461
0.537 42.658
0.529 42.090
0.533 42.769
0.502 42.640
0.515 42.627
0.412 42.510
0.515 42.416
0.660 42.745
0.439 42.691
0.523 42.308
0.551 42.305
0.466 42.322
0.479 42.557
0.519 42.198
0.451 42.485
0.409 42.051
0.524 42.466
0.466 42.274
0.587 42.717
0.464 42.508
0.558 42.732
0.540 42.377
0.491 42.191
0.493 42.473
0.499 42.630
0.567 42.263
0.572 42.413
0.572 42.216
0.616 42.620
0.571 42.475
0.594 42.349
0.557 42.413
0.509 42.626
0.518 42.866
0.587 42.445
0.535 42.526
0.446 42.531
0.670 42.522
0.601 42.682
0.459 42.803
0.587 42.855
0.577 42.700
0.586 42.512
0.457 42.306
0.555 42.776
0.492 42.376
0.618 42.491
0.578 42.222
0.658 42.805
0.484 42.438
0.597 42.903
0.592 42.803
0.543 42.427
0.588 42.485
0.475 42.662
0.489 42.639
0.608 42.725
0.542 42.646
0.516 42.691
0.581 42.601
0.533 42.725
0.542 42.544
0.543 42.340
0.665 42.780
0.596 42.803
0.638 42.893
0.530 42.513
0.655 42.791
0.535 42.767
0.521 42.317
0.530 42.523
0.571 42.367
0.654 42.886
0.641 42.359
0.630 42.852
0.604 42.741
0.646 42.603
0.585 42.906
0.560 42.513
0.652 42.879
0.553 42.630
0.592 42.698
0.537 42.821
0.678 42.889
0.608 42.727
0.574 43.036
0.537 42.862
0.700 42.526
0.601 42.860
0.571 42.547
0.492 42.924
0.558 42.698
0.532 42.899
0.518 42.516
0.664 42.975
0.507 42.816
0.622 42.996
0.582 43.155
0.625 42.540
0.671 42.731
0.479 43.039
0.583 42.667
0.612 42.580
0.726 42.487
0.634 42.692
0.645 42.915
0.514 42.836
0.670 42.771
0.741 43.133
0.407 42.169
0.638 42.956
0.640 42.798
0.642 43.165
0.654 42.736
0.578 42.436
0.698 43.224
0.555 42.700
0.570 42.743
0.603 42.930
0.635 42.819
0.615 42.677
0.617 43.272
0.632 43.047
0.657 42.536
0.682 42.650
0.606 43.031
0.515 42.635
0.783 43.125
0.562 43.231
0.760 42.816
0.573 43.641
0.726 42.762
0.574 43.035
0.665 42.893
0.713 42.686
0.525 42.873
0.612 42.799
0.661 42.609
0.613 43.120
0.696 42.789
0.577 43.010
0.644 42.461
0.591 42.869
0.575 43.096
0.570 43.134
0.662 43.128
0.631 42.996
0.694 42.824
0.661 43.122
0.534 43.236
0.621 43.099
0.660 42.931
0.806 43.164
0.704 42.772
0.658 43.236
0.608 43.245
0.649 43.341
0.619 42.857
0.587 42.691
0.705 43.351
0.734 43.081
0.671 43.057
0.655 43.194
0.650 42.798
0.670 43.143
0.703 43.230
0.560 43.154
0.652 43.000
0.659 43.156
0.739 42.920
0.647 43.010
0.681 42.845
0.581 42.762
0.712 43.105
0.642 43.021
0.626 43.186
0.601 43.158
0.641 43.020
0.652 43.339
0.701 42.853
0.619 43.209
0.689 43.196
0.704 43.088
0.594 43.446
0.561 43.043
0.670 43.400
0.730 43.432
0.776 43.190
0.640 43.250
0.654 43.010
0.677 43.244
0.615 42.828
0.732 43.042
0.667 43.324
0.721 42.970
0.715 43.124
0.615 43.233
0.687 43.067
0.715 43.040
0.630 43.376
0.671 43.352
0.727 43.439
0.779 43.101
0.736 43.041
0.821 43.488
0.702 43.025
0.668 42.742
0.704 43.156
0.727 43.238
0.698 43.522
0.695 43.311
0.653 43.513
0.786 43.199
0.745 42.981
0.668 43.381
0.643 43.583
0.854 43.157
0.685 43.493
0.757 42.968
0.556 43.313
0.851 43.278
0.803 43.193
0.715 43.059
0.640 43.297
0.739 43.456
0.707 43.057
0.848 43.236
0.715 43.384
0.661 43.678
0.659 43.354
0.853 43.401
0.788 43.223
0.492 43.150
0.744 43.782
0.652 43.724
0.746 43.504
0.724 43.459
0.725 43.071
0.691 43.390
0.742 43.196
0.761 43.192
0.810 43.498
0.714 43.572
0.748 42.867
0.844 43.133
0.841 43.387
0.611 43.389
0.695 43.136
0.775 43.477
0.756 43.559
0.568 43.195
0.721 43.556
0.787 43.386
0.727 43.112
0.757 43.160
0.761 43.324
0.724 43.699
0.763 43.000
0.820 43.640
0.784 43.284
0.805 43.588
0.636 43.510
0.762 43.321
0.718 43.630
0.910 43.597
0.847 43.694
0.650 43.484
0.825 43.382
0.822 43.782
0.710 43.469
0.833 43.405
0.818 43.600
0.747 43.525
0.760 43.434
0.810 44.003
0.756 43.432
0.796 43.513
0.762 43.364
0.769 43.676
0.807 43.506
0.807 43.514
0.798 43.599
0.799 43.410
0.939 43.300
0.766 43.870
0.647 43.321
0.766 43.464
0.847 43.600
0.883 43.403
0.784 43.454
0.768 43.323
0.755 43.227
0.662 43.567
0.760 43.489
0.760 43.534
0.804 43.563
0.861 42.997
0.806 43.853
0.720 43.699
0.814 43.930
0.829 43.495
0.736 43.461
0.857 43.555
0.706 43.521
0.807 44.242
0.903 43.329
0.736 43.638
0.632 43.819
0.764 43.375
0.780 43.651
0.892 43.613
0.869 43.812
0.794 43.379
0.827 43.388
0.761 43.764
0.720 43.768
0.912 43.764
0.890 43.707
0.804 43.821
0.906 43.280
0.884 43.392
0.975 43.829
0.813 43.822
0.807 43.446
0.911 43.753
0.864 43.659
0.967 43.487
0.929 43.613
0.827 43.589
0.859 43.488
0.711 43.906
0.863 43.687
0.853 43.476
0.787 43.653
0.768 43.951
0.848 43.725
0.781 43.703
0.727 43.742
0.839 43.519
0.709 43.879
0.864 43.810
0.710 43.692
0.989 43.651
0.934 43.634
0.828 43.907
0.816 44.137
0.962 43.990
0.858 43.797
0.879 43.943
0.912 43.943
0.835 43.840
0.894 43.701
0.869 43.710
0.844 43.531
0.686 43.943
0.891 43.928
0.851 43.921
0.746 44.115
0.794 43.687
0.926 43.682
0.783 43.786
0.877 43.906
0.732 43.963
0.815 43.719
0.893 44.023
0.760 43.940
0.800 43.758
0.760 44.524
0.877 43.626
0.951 43.753
0.812 44.300
0.780 43.787
0.832 43.916
0.995 43.932
0.837 43.794
0.869 44.096
0.841 43.478
0.861 43.673
0.797 43.828
0.915 43.698
0.852 43.923
0.744 43.597
0.750 43.869
0.890 43.576
0.945 43.978
0.809 43.901
0.903 43.880
0.876 44.478
0.899 43.848
0.906 43.765
0.954 43.876
0.987 43.828
0.773 43.900
0.894 43.549
0.930 43.752
0.809 43.851
0.835 43.723
0.871 43.961
0.879 43.594
0.868 44.049
0.996 43.689
0.943 43.623
0.902 44.063
0.800 44.012
0.864 43.826
0.782 43.651
0.953 43.862
0.961 44.117
0.964 44.177
1.014 43.846
0.724 43.845
0.954 43.715
0.934 43.832
0.881 43.972
0.960 44.150
0.775 43.856
0.782 44.037
1.035 43.944
0.957 43.974
0.898 43.905
0.851 44.075
0.851 44.085
0.946 43.720
0.894 43.963
0.909 43.853
0.976 43.925
1.050 43.872
0.927 44.130
0.870 43.868
0.914 43.845
0.919 44.058
0.910 43.945
0.714 43.957
0.849 43.781
0.927 44.235
0.971 44.016
0.991 44.131
0.842 43.649
0.941 43.862
1.077 44.086
0.866 44.035
0.955 43.956
0.966 43.475
0.840 43.949
1.004 43.915
0.942 43.931
0.881 43.926
0.915 44.282
0.953 43.887
0.914 44.350
0.942 43.902
0.887 43.644
0.957 44.165
1.037 44.406
0.924 43.788
0.872 44.046
0.928 44.427
1.011 44.056
1.059 44.054
1.042 44.234
0.883 44.114
0.939 43.908
0.949 44.271
1.007 43.884
0.781 44.151
0.994 44.011
1.019 43.662
1.060 44.374
0.972 44.299
0.933 43.979
1.038 44.335
1.016 44.244
0.958 43.970
0.950 44.500
0.984 44.057
0.955 44.360
0.796 44.149
0.948 44.421
0.996 43.924
0.938 44.382
0.992 44.281
1.067 44.128
0.955 44.691
0.915 44.274
1.091 44.557
0.932 44.537
1.035 44.081
1.084 44.253
0.847 43.866
1.097 44.282
