# Error in mu 0.20
# z   mu
0.005 34.276
0.025 34.345
0.014 34.547
0.021 34.717
0.087 35.288
0.045 34.882
0.018 35.074
0.053 35.680
0.043 35.259
0.051 35.270
0.009 35.284
0.002 35.624
0.012 35.534
0.075 35.526
0.031 35.845
0.036 36.056
0.097 35.961
0.085 35.635
0.016 36.232
0.009 36.167
0.107 35.877
0.020 36.118
0.029 36.822
0.063 36.505
0.030 36.494
0.009 36.612
0.112 36.545
0.043 36.623
0.079 36.971
0.012 36.932
0.057 37.127
0.048 37.247
0.006 36.943
0.088 36.861
0.042 36.853
0.053 37.177
0.118 36.942
0.070 37.037
0.118 37.092
0.004 37.311
0.080 37.122
0.070 36.853
0.049 37.270
0.111 37.865
0.135 37.169
0.035 37.119
0.113 37.009
0.099 37.271
0.035 37.342
0.015 37.246
0.031 36.949
0.101 37.301
0.101 37.825
0.077 37.367
0.110 37.521
0.044 38.100
0.088 37.290
0.081 37.322
0.002 37.700
0.062 37.789
0.043 37.515
0.081 38.001
0.016 37.787
0.142 37.967
0.070 37.712
0.033 37.757
0.063 37.876
0.094 37.678
0.041 38.307
0.078 38.311
0.057 38.183
0.131 37.930
0.050 38.094
0.175 37.998
0.055 37.865
0.098 38.152
0.091 38.109
0.033 37.893
0.119 38.490
0.123 38.102
0.127 38.370
0.100 38.733
0.083 38.672
0.063 38.507
0.215 38.318
0.187 38.047
0.056 38.602
0.089 38.448
0.105 38.446
0.055 38.908
0.110 38.746
0.104 39.011
0.084 38.749
0.096 39.071
0.070 38.746
0.130 38.960
0.095 39.182
0.137 38.834
0.082 38.718
0.111 39.188
0.120 39.140
0.133 38.930
0.085 39.046
0.190 39.191
0.205 38.735
0.142 39.676
0.157 39.088
0.184 39.150
0.142 38.974
0.023 38.812
0.080 39.252
0.115 38.634
0.178 39.202
0.198 38.887
0.196 39.280
0.075 39.152
0.168 39.503
0.064 39.202
0.251 39.679
0.230 39.352
0.176 39.407
0.168 39.236
0.105 39.046
0.231 39.486
0.164 39.616
0.144 39.373
0.199 39.644
0.111 39.479
0.172 39.577
0.092 39.516
0.130 39.724
0.142 39.247
0.194 39.584
0.155 39.195
0.199 39.832
0.124 39.435
0.130 39.335
0.167 39.754
0.142 39.443
0.140 39.485
0.155 39.219
0.191 39.947
0.100 39.160
0.160 39.289
0.245 39.525
0.173 39.423
0.221 39.821
0.216 39.517
0.232 39.302
0.090 39.897
0.166 39.988
0.109 39.749
0.148 39.813
0.198 39.938
0.129 39.542
0.217 39.823
0.180 39.798
0.059 39.664
0.215 39.860
0.159 39.794
0.189 39.775
0.139 39.888
0.157 39.720
0.150 39.741
0.179 39.898
0.215 40.407
0.199 39.947
0.262 39.838
0.089 40.162
0.171 40.022
0.233 39.916
0.220 39.872
0.149 40.054
0.248 40.071
0.118 40.141
0.267 39.990
0.276 40.167
0.208 40.069
0.225 40.292
0.203 39.952
0.219 40.103
0.255 40.057
0.206 39.833
0.236 40.303
0.187 40.182
0.196 40.552
0.247 39.743
0.146 40.038
0.152 40.399
0.301 40.513
0.164 40.094
0.233 40.482
0.128 40.330
0.257 40.596
0.154 40.288
0.292 39.991
0.179 40.169
0.143 40.494
0.226 40.490
0.254 40.102
0.323 40.364
0.209 40.579
0.282 40.292
0.242 40.355
0.248 40.552
0.238 40.284
0.202 40.440
0.251 40.545
0.247 40.269
0.259 40.439
0.311 40.139
0.153 40.558
0.265 39.985
0.221 40.219
0.325 40.694
0.177 40.156
0.164 40.026
0.286 40.665
0.362 40.585
0.287 40.316
0.235 40.677
0.298 40.286
0.226 40.567
0.320 40.632
0.252 41.028
0.363 40.492
0.184 40.610
0.233 40.218
0.274 40.868
0.251 40.663
0.219 41.035
0.299 40.615
0.221 40.397
0.159 40.424
0.264 40.597
0.311 40.975
0.234 40.679
0.295 40.752
0.269 40.687
0.380 40.797
0.306 40.610
0.313 40.914
0.320 41.007
0.278 40.983
0.276 40.360
0.202 40.800
0.246 40.918
0.288 40.839
0.251 40.697
0.297 40.964
0.350 41.105
0.320 40.988
0.327 41.313
0.273 41.102
0.287 41.130
0.342 41.004
0.282 40.822
0.296 41.101
0.297 41.015
0.329 40.924
0.300 40.773
0.314 40.705
0.330 41.263
0.269 41.412
0.358 40.975
0.316 41.114
0.336 41.094
0.383 40.838
0.375 41.470
0.311 41.153
0.307 41.055
0.303 41.466
0.321 41.297
0.223 41.495
0.290 41.257
0.379 41.105
0.343 41.303
0.367 41.143
0.385 41.686
0.294 41.111
0.233 41.281
0.238 41.190
0.376 41.102
0.272 41.340
0.347 41.181
0.364 41.125
0.336 41.127
0.326 41.157
0.395 41.405
0.358 41.483
0.313 40.933
0.410 41.539
0.309 41.291
0.419 41.230
0.336 41.236
0.364 41.479
0.360 41.815
0.404 41.060
0.332 41.366
0.410 41.594
0.343 41.017
0.373 41.425
0.346 41.670
0.391 41.516
0.320 41.418
0.324 41.544
